;Code;Parent code level 1;Parent code;Level nr;Prometis_label_D_retail;Prometis_label_D_corp;Label NL;ffill_retail;ffill_corp
1022;10711.0;C;1071;;GROCERIES;EXPENSES - GOODS;Industriële vervaardiging van brood en van vers banketbakkerswerk;107;107
1023;10712.0;C;1071;;GROCERIES;EXPENSES - GOODS;Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk;107;107
398;1072.0;C;107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk;107;107
1024;10720.0;C;1072;;GROCERIES;EXPENSES - GOODS;Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk;107;107
399;1073.0;C;107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren;107;107
1025;10730.0;C;1073;;GROCERIES;EXPENSES - GOODS;Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren;107;107
96;108.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van andere voedingsmiddelen;108;108
400;1081.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van suiker;108;108
1026;10810.0;C;1081;;GROCERIES;EXPENSES - GOODS;Vervaardiging van suiker;108;108
401;1082.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van cacao, chocolade en suikerwerk;108;108
1027;10820.0;C;1082;;GROCERIES;EXPENSES - GOODS;Vervaardiging van cacao, chocolade en suikerwerk;108;108
402;1083.0;C;108;;GROCERIES;EXPENSES - GOODS;Verwerking van thee en koffie;108;108
1028;10830.0;C;1083;;GROCERIES;EXPENSES - GOODS;Verwerking van thee en koffie;108;108
403;1084.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van specerijen, sauzen en kruiderijen;108;108
1029;10840.0;C;1084;;GROCERIES;EXPENSES - GOODS;Vervaardiging van specerijen, sauzen en kruiderijen;108;108
404;1085.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van bereide maaltijden en schotels;108;108
1030;10850.0;C;1085;;GROCERIES;EXPENSES - GOODS;Vervaardiging van bereide maaltijden en schotels;108;108
