mcc;public_mcc_description;Prometis_label
3118;VALLEY AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3119;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3120;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3121;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3122;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3123;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3124;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3125;TAN;PASSENGER TRANSPORT SERVICES - AIR
3126;TALAIR;PASSENGER TRANSPORT SERVICES - AIR
3127;TACA INTERNATIONAL;PASSENGER TRANSPORT SERVICES - AIR
3128;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3129;SURINAM AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3130;SUN WORLD INTERNATIONAL;PASSENGER TRANSPORT SERVICES - AIR
3131;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3132;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3133;SUNBELT AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3134;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3135;SUDAN AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3136;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3137;SINGLETON;PASSENGER TRANSPORT SERVICES - AIR
3138;SIMMONS AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3139;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3140;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3141;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3142;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3143;SCENIC AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3144;VIRGIN ATLANTIC;PASSENGER TRANSPORT SERVICES - AIR
3145;SAN JUAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3146;LUXAIR;PASSENGER TRANSPORT SERVICES - AIR
3147;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3148;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3149;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3150;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3151;AIR ZAIRE;PASSENGER TRANSPORT SERVICES - AIR
3152;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3153;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3154;PRINCEVILLE;PASSENGER TRANSPORT SERVICES - AIR
3155;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3156;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3157;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3158;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3159;PBA;PASSENGER TRANSPORT SERVICES - AIR
3160;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3161;ALL NIPPON AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3162;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3163;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3164;NORONTAIR;PASSENGER TRANSPORT SERVICES - AIR
3165;NEW YORK HELICOPTER;PASSENGER TRANSPORT SERVICES - AIR
3166;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3167;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3168;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3169;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3170;NOUNT COOK;PASSENGER TRANSPORT SERVICES - AIR
3171;CANADIAN AIRLINES INTERNATIONAL;PASSENGER TRANSPORT SERVICES - AIR
3172;NATIONAIR;PASSENGER TRANSPORT SERVICES - AIR
3173;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3174;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3175;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3176;METROFLIGHT AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3177;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3178;MESA AIR;PASSENGER TRANSPORT SERVICES - AIR
3179;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3180;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3181;MALEV;PASSENGER TRANSPORT SERVICES - AIR
3182;LOT (POLAND);PASSENGER TRANSPORT SERVICES - AIR
3183;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3184;LIAT;PASSENGER TRANSPORT SERVICES - AIR
3185;LAV (VENEZUELA);PASSENGER TRANSPORT SERVICES - AIR
3186;LAP (PARAGUAY);PASSENGER TRANSPORT SERVICES - AIR
3187;LACSA (COSTA RICA);PASSENGER TRANSPORT SERVICES - AIR
3188;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3189;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3190;JUGOSLAV AIR;PASSENGER TRANSPORT SERVICES - AIR
3191;ISLAND AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3192;IRAN AIR;PASSENGER TRANSPORT SERVICES - AIR
3193;INDIAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3194;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3195;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3196;HAWAIIAN AIR;PASSENGER TRANSPORT SERVICES - AIR
3197;HAVASU AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3198;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3199;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3200;FUYANA AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3201;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3202;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3203;GOLDEN PACIFIC AIR;PASSENGER TRANSPORT SERVICES - AIR
3204;FREEDOM AIR;PASSENGER TRANSPORT SERVICES - AIR
3205;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3206;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3207;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3208;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3209;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3210;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3211;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3212;DOMINICANA;PASSENGER TRANSPORT SERVICES - AIR
3213;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3214;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3215;DAN AIR SERVICES;PASSENGER TRANSPORT SERVICES - AIR
3216;CUMBERLAND AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3217;CSA;PASSENGER TRANSPORT SERVICES - AIR
3218;CROWN AIR;PASSENGER TRANSPORT SERVICES - AIR
3219;COPA;PASSENGER TRANSPORT SERVICES - AIR
3220;COMPANIA FAUCETT;PASSENGER TRANSPORT SERVICES - AIR
3221;TRANSPORTES AEROS MILITARES ECCUATORANOS;PASSENGER TRANSPORT SERVICES - AIR
3222;COMMAND AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3223;COMAIR;PASSENGER TRANSPORT SERVICES - AIR
3224;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3225;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3226;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3227;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3228;CAYMAN AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3229;SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS;PASSENGER TRANSPORT SERVICES - AIR
3230;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3231;SASHA SERVICIO AERO DE HONDURAS;PASSENGER TRANSPORT SERVICES - AIR
3232;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3233;CAPITOL AIR;PASSENGER TRANSPORT SERVICES - AIR
3234;BWIA;PASSENGER TRANSPORT SERVICES - AIR
3235;BROKWAY AIR;PASSENGER TRANSPORT SERVICES - AIR
3236;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3237;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3238;BEMIDJI AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3239;BAR HARBOR AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3240;BAHAMASAIR;PASSENGER TRANSPORT SERVICES - AIR
3241;AVIATECA (GUATEMALA);PASSENGER TRANSPORT SERVICES - AIR
3242;AVENSA;PASSENGER TRANSPORT SERVICES - AIR
3243;AUSTRIAN AIR SERVICE;PASSENGER TRANSPORT SERVICES - AIR
3244;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3245;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3246;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3247;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3248;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3249;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3250;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3251;ALOHA AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3252;ALM;PASSENGER TRANSPORT SERVICES - AIR
3253;AMERICA WEST;PASSENGER TRANSPORT SERVICES - AIR
3254;TRUMP AIRLINE;PASSENGER TRANSPORT SERVICES - AIR
3255;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3256;ALASKA AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3257;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3258;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3259;AMERICAN TRANS AIR;PASSENGER TRANSPORT SERVICES - AIR
3260;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3261;AIR CHINA;PASSENGER TRANSPORT SERVICES - AIR
3262;RENO AIR, INC.;PASSENGER TRANSPORT SERVICES - AIR
3263;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3264;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3265;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3266;AIR SEYCHELLES;PASSENGER TRANSPORT SERVICES - AIR
3267;AIR PANAMA;PASSENGER TRANSPORT SERVICES - AIR
3268;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3269;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3270;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3271;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3272;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3273;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3274;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3275;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3276;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3277;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3278;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3279;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3280;AIR JAMAICA;PASSENGER TRANSPORT SERVICES - AIR
3281;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3282;AIR DJIBOUTI;PASSENGER TRANSPORT SERVICES - AIR
3283;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3284;AERO VIRGIN ISLANDS;PASSENGER TRANSPORT SERVICES - AIR
3285;AERO PERU;PASSENGER TRANSPORT SERVICES - AIR
3286;AEROLINEAS NICARAGUENSIS;PASSENGER TRANSPORT SERVICES - AIR
3287;AERO COACH AVAIATION;PASSENGER TRANSPORT SERVICES - AIR
3288;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3289;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3290;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3291;ARIANA AFGHAN;PASSENGER TRANSPORT SERVICES - AIR
3292;CYPRUS AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3293;ECUATORIANA;PASSENGER TRANSPORT SERVICES - AIR
3294;ETHIOPIAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3295;KENYA AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3296;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3297;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3298;AIR MAURITIUS;PASSENGER TRANSPORT SERVICES - AIR
