mcc;public_mcc_description;Prometis_label
5691;Men’s and Women’s Clothing Stores;CLOTHING AND FOOTWEAR
5697;Tailors, Seamstress, Mending, and Alterations;SERVICES - OTHER
5698;Wig and Toupee Stores;CLOTHING AND FOOTWEAR
5699;Miscellaneous Apparel and Accessory Shops;CLOTHING AND FOOTWEAR
5712;Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances;FURNITURE, FURNISHINGS, AND LOOSE CARPETS
5713;Floor Covering Stores;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES
5714;Drapery, Window Covering and Upholstery Stores;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES
5718;Fireplace, Fireplace Screens, and Accessories Stores;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES
5719;Miscellaneous Home Furnishing Specialty Stores;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES
5722;Household Appliance Stores;HOUSEHOLD APPLIANCES
5732;Electronic Sales;HOUSEHOLD APPLIANCES
5733;Music Stores, Musical Instruments, Piano Sheet Music;CULTURAL AND RECREATIONAL DURABLES
5734;Computer Software Stores;INFORMATION AND COMMUNICATION SERVICES
5735;Record Shops;OTHER CULTURAL AND RECREATIONAL GOODS
5811;Caterers;FOOD AND BEVERAGE SERVING SERVICES
5812;Eating places and Restaurants;FOOD AND BEVERAGE SERVING SERVICES
5813;Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques;FOOD AND BEVERAGE SERVING SERVICES
5814;Fast Food Restaurants;FOOD AND BEVERAGE SERVING SERVICES
5815;Digital Goods: Media, Books, Movies, Music;OTHER CULTURAL AND RECREATIONAL GOODS
5816;Digital Goods: Games;OTHER CULTURAL AND RECREATIONAL GOODS
5817;Digital Goods: Applications (Excludes Games);OTHER CULTURAL AND RECREATIONAL GOODS
5818;Digital Goods: Large Digital Goods Merchant;OTHER CULTURAL AND RECREATIONAL GOODS
5832;Antique Shops – Sales, Repairs, and Restoration Services;SERVICES - OTHER
5912;Drug Stores and Pharmacies;MEDICINES AND HEALTH PRODUCTS
5921;Package Stores – Beer, Wine, and Liquor;ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS
5931;Used Merchandise and Secondhand Stores;SECOND-HAND RETAIL
5932;Antique Shops;SECOND-HAND RETAIL
5933;Pawn Shops and Salvage Yards;SECOND-HAND RETAIL
5935;Wrecking and Salvage Yards;SECOND-HAND RETAIL
5937;Antique Reproductions;SECOND-HAND RETAIL
5940;Bicycle Shops – Sales and Service;PURCHASE OF VEHICLES
5941;Sporting Goods Stores;OTHER CULTURAL AND RECREATIONAL GOODS
5942;Book Stores;OTHER CULTURAL AND RECREATIONAL GOODS
5943;Stationery Stores, Office and School Supply Stores;PAPER GOODS
5944;Watch, Clock, Jewelry, and Silverware Stores;LUXERY GOODS
5945;Hobby, Toy, and Game Shops;OTHER CULTURAL AND RECREATIONAL GOODS
5946;Camera and Photographic Supply Stores;CULTURAL AND RECREATIONAL DURABLES
5947;Card Shops, Gift, Novelty, and Souvenir Shops;OTHER NON-DURABLE GOODS
5948;Leather Goods Stores;CLOTHING AND FOOTWEAR
5949;Sewing, Needle, Fabric, and Price Goods Stores;CLOTHING AND FOOTWEAR
5950;Glassware/Crystal Stores;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES
5960;Direct Marketing- Insurance Service;INSURANCE
5961;Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments);MIXED RETAIL - PERSONAL USE
5962;Direct Marketing – Travel Related Arrangements Services;PACKAGE HOLIDAYS
5963;Door-to-Door Sales;MIXED RETAIL - PERSONAL USE
5964;Direct Marketing – Catalog Merchant;MIXED RETAIL - PERSONAL USE
5965;Direct Marketing – Catalog and Catalog and Retail Merchant;MIXED RETAIL - PERSONAL USE
5966;Direct Marketing- Outbound Telemarketing Merchant;MIXED RETAIL - PERSONAL USE
5967;Direct Marketing – Inbound Teleservices Merchant;INFORMATION AND COMMUNICATION SERVICES
5968;Direct Marketing – Continuity/Subscription Merchant;MIXED RETAIL - PERSONAL USE
5969;Direct Marketing – Not Elsewhere Classified;MIXED RETAIL - PERSONAL USE
5970;Artist’s Supply and Craft Shops;OTHER NON-DURABLE GOODS
5971;Art Dealers and Galleries;LUXERY GOODS
5972;Stamp and Coin Stores – Philatelic and Numismatic Supplies;LUXERY GOODS
5973;Religious Goods Stores;OTHER CULTURAL AND RECREATIONAL GOODS
5975;Hearing Aids – Sales, Service, and Supply Stores;ASSISTIVE PRODUCTS
5976;Orthopedic Goods Prosthetic Devices;ASSISTIVE PRODUCTS
5977;Cosmetic Stores;PERSONAL CARE PRODUCTS
5978;Typewriter Stores – Sales, Rental, Service;INFORMATION AND COMMUNICATION EQUIPMENT
5983;Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum;UTILITIES - SOLID FUELS
5992;Florists;GARDEN PRODUCTS AND PETS
5993;Cigar Stores and Stands;ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS
5994;News Dealers and Newsstands;PAPER GOODS
5995;Pet Shops, Pet Foods, and Supplies Stores;GARDEN PRODUCTS AND PETS
5996;Swimming Pools – Sales, Service, and Supplies;MIXED RETAIL - BUILDING MATERIALS
5997;Electric Razor Stores – Sales and Service;PERSONAL CARE PRODUCTS
5998;Tent and Awning Shops;FURNITURE, FURNISHINGS, AND LOOSE CARPETS
5999;Miscellaneous and Specialty Retail Stores;OTHER NON-DURABLE GOODS
6010;Financial Institutions – Manual Cash Disbursements;CASH
6011;Financial Institutions – Manual Cash Disbursements;CASH
6012;Financial Institutions – Merchandise and Services;FINANCIAL SERVICES
6051;Non-Financial Institutions – Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques;CASH
6211;Security Brokers/Dealers;FINANCIAL SERVICES
6300;Insurance Sales, Underwriting, and Premiums;INSURANCE
6381;Insurance Premiums, (no longer valid for first presentment work);INSURANCE
6399;Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work);INSURANCE
6513;Real Estate Agents and Managers - Rentals;FINANCIAL SERVICES
7011;Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified);ACCOMMODATION SERVICES
7012;Timeshares;ACCOMMODATION SERVICES
7032;Sporting and Recreational Camps;CULTURAL AND RECREATIONAL SERVICES
7033;Trailer Parks and Camp Grounds;CULTURAL AND RECREATIONAL SERVICES
7210;Laundry, Cleaning, and Garment Services;SERVICES - OTHER
7211;Laundry – Family and Commercial;SERVICES - OTHER
7216;Dry Cleaners;SERVICES - OTHER
7217;Carpet and Upholstery Cleaning;SERVICES - OTHER
7221;Photographic Studios;CULTURAL AND RECREATIONAL SERVICES
7230;Barber and Beauty Shops;PERSONAL CARE SERVICES
7251;Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops;SERVICES - OTHER
7261;Funeral Service and Crematories;SERVICES - OTHER
7273;Dating and Escort Services;SERVICES - OTHER
7276;Tax Preparation Service;FINANCIAL SERVICES
7277;Counseling Service – Debt, Marriage, Personal;SERVICES - OTHER
7278;Buying/Shopping Services, Clubs;SERVICES - OTHER
7296;Clothing Rental – Costumes, Formal Wear, Uniforms;SERVICES - OTHER
7297;Massage Parlors;PERSONAL CARE SERVICES
7298;Health and Beauty Shops;PERSONAL CARE SERVICES
7299;Miscellaneous Personal Services ( not elsewhere classifies);SERVICES - OTHER
7311;Advertising Services;SERVICES - OTHER
7321;Consumer Credit Reporting Agencies;FINANCIAL SERVICES
7332;Blueprinting and Photocopying Services;SERVICES - OTHER
7333;Commercial Photography, Art and Graphics;SERVICES - OTHER
7338;Quick Copy, Reproduction and Blueprinting Services;SERVICES - OTHER
7339;Stenographic and Secretarial Support Services;SERVICES - OTHER
7342;Exterminating and Disinfecting Services;DOMESTIC SERVICES AND HOUSEHOLD SERVICES
7349;Cleaning and Maintenance, Janitorial Services;DOMESTIC SERVICES AND HOUSEHOLD SERVICES
7361;Employment Agencies, Temporary Help Services;SERVICES - OTHER
7372;Computer Programming, Integrated Systems Design and Data Processing Services;SERVICES - OTHER
7375;Information Retrieval Services;SERVICES - OTHER
7379;Computer Maintenance and Repair Services, Not Elsewhere Classified;SERVICES - OTHER
7392;Management, Consulting, and Public Relations Services;SERVICES - OTHER
7393;Protective and Security Services – Including Armored Carsand Guard Dogs;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
7394;Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
7395;Photofinishing Laboratories, Photo Developing;SERVICES - OTHER
7399;Business Services, Not Elsewhere Classified;SERVICES - OTHER
7511;Truck Stop;SERVICES - OTHER
7512;Car Rental Companies ( Not Listed Below);PASSENGER TRANSPORT SERVICES - ROAD
7513;Truck and Utility Trailer Rentals;PASSENGER TRANSPORT SERVICES - ROAD
7519;Motor Home and Recreational Vehicle Rentals;CULTURAL AND RECREATIONAL SERVICES
7523;Automobile Parking Lots and Garages;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7531;Automotive Body Repair Shops;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7534;Tire Re-treading and Repair Shops;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7535;Paint Shops – Automotive;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7538;Automotive Service Shops;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7542;Car Washes;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7549;Towing Services;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
7622;Radio Repair Shops;SERVICES - OTHER
7623;Air Conditioning and Refrigeration Repair Shops;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
7629;Electrical And Small Appliance Repair Shops;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
7631;Watch, Clock, and Jewelry Repair;SERVICES - OTHER
7641;Furniture, Furniture Repair, and Furniture Refinishing;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
7692;Welding Repair;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
7699;Repair Shops and Related Services –Miscellaneous;SERVICES - OTHER
7800;Government-Owned Lotteries;CULTURAL AND RECREATIONAL SERVICES
7801;Government-Licensed On-Line Casinos (On-Line Gambling);CULTURAL AND RECREATIONAL SERVICES
7802;Government-Licensed Horse/Dog Racing;CULTURAL AND RECREATIONAL SERVICES
7829;Motion Pictures and Video Tape Production and Distribution;CULTURAL AND RECREATIONAL SERVICES
7832;Motion Picture Theaters;CULTURAL AND RECREATIONAL SERVICES
7841;Video Tape Rental Stores;CULTURAL AND RECREATIONAL SERVICES
7911;Dance Halls, Studios and Schools;CULTURAL AND RECREATIONAL SERVICES
7922;Theatrical Producers (Except Motion Pictures), Ticket Agencies;CULTURAL AND RECREATIONAL SERVICES
7929;Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified);CULTURAL AND RECREATIONAL SERVICES
7932;Billiard and Pool Establishments;CULTURAL AND RECREATIONAL SERVICES
7933;Bowling Alleys;CULTURAL AND RECREATIONAL SERVICES
7941;Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters;CULTURAL AND RECREATIONAL SERVICES
7991;Tourist Attractions and Exhibits;CULTURAL AND RECREATIONAL SERVICES
7992;Golf Courses – Public;CULTURAL AND RECREATIONAL SERVICES
7993;Video Amusement Game Supplies;CULTURAL AND RECREATIONAL SERVICES
7994;Video Game Arcades/Establishments;CULTURAL AND RECREATIONAL SERVICES
7995;Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers at Race Tracks);CULTURAL AND RECREATIONAL SERVICES
7996;Amusement Parks, Carnivals, Circuses, Fortune Tellers;CULTURAL AND RECREATIONAL SERVICES
7997;Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses;CULTURAL AND RECREATIONAL SERVICES
7998;Aquariums, Sea-aquariums, Dolphinariums;CULTURAL AND RECREATIONAL SERVICES
7999;Recreation Services (Not Elsewhere Classified);CULTURAL AND RECREATIONAL SERVICES
8011;Doctors and Physicians (Not Elsewhere Classified);HEALTH SERVICES
8021;Dentists and Orthodontists;HEALTH SERVICES
8031;Osteopaths;HEALTH SERVICES
8041;Chiropractors;HEALTH SERVICES
8042;Optometrists and Ophthalmologists;HEALTH SERVICES
8043;Opticians, Opticians Goods and Eyeglasses;ASSISTIVE PRODUCTS
8044;Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments);ASSISTIVE PRODUCTS
8049;Podiatrists and Chiropodists;HEALTH SERVICES
8050;Nursing and Personal Care Facilities;HEALTH SERVICES
8062;Hospitals;HEALTH SERVICES
8071;Medical and Dental Laboratories;HEALTH SERVICES
8099;Medical Services and Health Practitioners (Not Elsewhere Classified);HEALTH SERVICES
8111;Legal Services and Attorneys;SERVICES - OTHER
8211;Elementary and Secondary Schools;EDUCATION - MANDATORY
8220;Colleges, Junior Colleges, Universities, and ProfessionalSchools;EDUCATION - TERTIARY
8241;Correspondence Schools;EDUCATION - OTHER
8244;Business and Secretarial Schools;EDUCATION - OTHER
8249;Vocational Schools and Trade Schools;EDUCATION - OTHER
8299;Schools and Educational Services ( Not Elsewhere Classified);EDUCATION - OTHER
8351;Child Care Services;SOCIAL PROTECTION
8398;Charitable and Social Service Organizations;SOCIAL PROTECTION
8641;Civic, Fraternal, and Social Associations;SERVICES - OTHER
8651;Political Organizations;SERVICES - OTHER
8661;Religious Organizations;SERVICES - OTHER
8675;Automobile Associations;SERVICES - OTHER
8699;Membership Organizations ( Not Elsewhere Classified);SERVICES - OTHER
8734;Testing Laboratories ( non-medical);SERVICES - OTHER
8911;Architectural – Engineering and Surveying Services;SERVICES - OTHER
8931;Accounting, Auditing, and Bookkeeping Services;FINANCIAL SERVICES
8999;Professional Services ( Not Elsewhere Defined);SERVICES - OTHER
9211;Court Costs, including Alimony and Child Support;OTHER NON-DURABLE GOODS
9222;Fines;OTHER NON-DURABLE GOODS
9223;Bail and Bond Payments;OTHER NON-DURABLE GOODS
9311;Tax Payments;TAXES
9399;Government Services ( Not Elsewhere Classified);SERVICES - OTHER
9402;Postal Services – Government Only;SERVICES - OTHER
9405;Intra – Government Transactions;SERVICES - OTHER
9700;Automated Referral Service ( For Visa Only);SERVICES - OTHER
9701;Visa Credential Service ( For Visa Only);SERVICES - OTHER
9702;GCAS Emergency Services ( For Visa Only);SERVICES - OTHER
9950;Intra – Company Purchases ( For Visa Only);SERVICES - OTHER
6534;;FINANCIAL SERVICES
3800;;ACCOMMODATION SERVICES
6532;;FINANCIAL SERVICES
6533;;FINANCIAL SERVICES
9406;;CULTURAL AND RECREATIONAL SERVICES
5552;;FUELS AND LUBRICANTS FOR PERSONAL TRANSPORT EQUIPMENT
6050;;CASH
7322;;FINANCIAL SERVICES
743;;ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS
6540;;FINANCIAL SERVICES
5262;;MIXED RETAIL - PERSONAL USE
3811;;ACCOMMODATION SERVICES
3301;;PASSENGER TRANSPORT SERVICES - AIR
3813;;ACCOMMODATION SERVICES
3830;;ACCOMMODATION SERVICES
3812;;ACCOMMODATION SERVICES
3300;;PASSENGER TRANSPORT SERVICES - AIR
3831;;ACCOMMODATION SERVICES
3826;;ACCOMMODATION SERVICES
3807;;ACCOMMODATION SERVICES
3791;;ACCOMMODATION SERVICES
3832;;ACCOMMODATION SERVICES
3829;;ACCOMMODATION SERVICES
