mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
1761,1500,2999,Contracted services,False,"Roofing, siding and sheet metal work contractors",Roofing - Contractors,"Roofing/Siding, Sheet Metal",roofing_siding_sheet_metal,,"Roofing, siding and sheet metal work contractors","Roofing and Siding, Sheet Metal Work Contractors",,"Roofing, Siding, and Sheet Metal Work Contractors",1761,"Roofing, Siding, and Sheet Metal Work Contractors","Merchants classified with this MCC are contractors that install roofing and/or siding and do sheet metal work. This MCC includes contractors that perform architectural sheet metal work, ceilings and skylight installation, duct and gutter installation, and roof spraying, painting or coating.",Contractors – Roofing Contractors – Sheet Metal Work Contractors – Siding Sheet Metal Work Contractors Siding Contractors,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1771,1500,2999,Contracted services,False,Concrete work contractors,Contractors - Concrete Work,Concrete Work Services,concrete_work_services,,Concrete work contractors,Concrete Work Contractors,,Concrete Work Contractors,1771,Concrete Work Contractors,"Merchants classified with this MCC are contractors that perform concrete, cement or asphalt work. This MCC includes contractors that construct private driveways and walks of all materials. Also included in this category are contractors that pour concrete for foundations and perform grouting work and concrete patio and sidewalk construction.",Asphalt Contractors Cement Contractors Contractors – Concrete Work,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1799,1500,2999,Contracted services,False,Special trade contractors -- not elsewhere classified,"Contractors - Special Trade, Not Elsewhere Classified",Special Trade Services,special_trade_services,,Special trade contractors - not elsewhere classified,"Contractors, Special Trade; not elsewhere classified",,Special Trade Contractors - Not Elsewhere Classified,1799,Special Trade Contractors (Not Elsewhere Classified),"Merchants classified with this MCC are special trade contractors that perform construction work not covered with a more specific MCC. This MCC includes contractors that perform jobs such as awning installation, bathtub refinishing, fence construction, fire escape installation, house moving, home window replacement, garage door installation, ornamental metal work, swimming pool construction, glasswork, well drilling, wallpaper services, and waterproofing.","Contractors – Decorating Contractors – Demolition Services Contractors – Glasswork Contractors – Painting, Home and Building Contractors – Paper Hanging Contractors – Special Trade Contractors Contractors – Welding Contractors – Well Drilling Decorating Contractors Decorators – Interior Demolition Services Garage Door Installation Glasswork Contractors Interior Decorators Window Replacement Miscellaneous Special Contractors Painting Contractors – Home, Building Paper Hanging Contractors Services – Demolition Wallpaper Hangers Welding Contractors Well Drilling Contractors","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
2741,1500,2999,Contracted services,False,Miscellaneous publishing and printing services,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,miscellaneous_publishing_and_printing,,Miscellaneous publishing and printing services,Miscellaneous Publishing and Printing,,Miscellaneous Publishing and Printing Services,2741,Miscellaneous Publishing and Printing,"Merchants classified with this MCC engage in business-to-business or wholesale printing, publishing and/or bookbinding activity. This includes Merchants that print or publish maps and atlases, business newsletters, directories, sheet music, paper patterns, technical manuals and papers, telephone directories and yearbooks.","Bookbinding Services Printing Services Publishing Services Services – Bookbinding Services – Publishing, Printing",CULTURAL AND RECREATIONAL SERVICES
2791,1500,2999,Contracted services,False,"Typesetting, platemaking and related services","Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, and Related Services",typesetting_plate_making_and_related_services,,"Typesetting, platemaking and related services","Typesetting, Plate Making, and Related Services",,"Typesetting, Plate Making, and Related Services",2791,"Typesetting, Plate Making and Related Services","Merchants classified with this MCC perform business- to-business or wholesale typesetting for the printing trade and those that make plates for printing purposes. These Merchants are involved in advertisement typesetting, phototypesetting, computer-controlled typesetting, and color separations. This MCC also includes Merchants that make positives and negatives from which offset lithographic plates are made. These establishments do not print from the plates they make but prepare them only for use by other Merchants. This MCC also includes Merchants that provide engraving or embossing services for printing purposes, such as engraving on wood, rubber, copper, or steel, or photoengraving.",Plate Making Services Services – Plate Making Services – Typesetting,CULTURAL AND RECREATIONAL SERVICES
2842,1500,2999,Contracted services,False,"Speciality cleaning, polishing and sanitation preparations","Specialty Cleaning, Polishing, and Sanitation Preparations",Specialty Cleaning,specialty_cleaning,,"Speciality cleaning, polishing and sanitation preparations","Sanitation, Polishing, and Specialty Cleaning Preparations",,"Specialty Cleaning, Polishing, and Sanitation Preparations",2842,"Specialty Cleaning, Polishing and Sanitation Preparations","Merchants classified with this MCC engage in the business-to-business or wholesale manufacture of polishes for wood, metal, and other materials as well as cleaning solutions, industrial and household disinfectants, and other sanitation preparations. Also included in this MCC are Merchants that sell non- personal deodorants, waxes and dressings for fabricated leather and other materials, wax removers, dry cleaning fluid and chemicals, rust and stain removers, wallpaper cleaners, and window cleaning solutions.","Cleaning Preparations Materials – Cleaning, Polishing, Sanitation Polishing Preparations Sanitation Preparations
Airlines and Air Carriers
MCC
Merchant Name
Required Name in Authorization Request/Clearing Record",DOMESTIC SERVICES AND HOUSEHOLD SERVICES
3000,3000,3999,Reserved for private use,True,,UNITED AIRLINES,,,UNITED AIR,,United Airlines,UNITED,UNITED AIRLINES,3000,UNITED AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3001,3000,3999,Reserved for private use,True,,AMERICAN AIRLINES,,,AMERICAN AIR,,American Airlines,AMERICAN,AMERICAN AIRLINES,3001,AMERICAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3002,3000,3999,Reserved for private use,True,,PAN AMERICAN,,,PAN AM AIR,,Pan American,PAN AM,PAN AMERICAN,3002,PAN AMERICAN,,,PASSENGER TRANSPORT SERVICES - AIR
3003,3000,3999,Reserved for private use,True,,,,,EUROFLY AIR,,Eurofly,EUROFLY,EUROFLY AIRLINES,3003,EUROFLY AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3004,3000,3999,Reserved for private use,True,,TRANS WORLD AIRLINES,,,DRAGONAIR,,Dragonair,DRAGONAIR,DRAGON AIRLINES,3004,DRAGON AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3005,3000,3999,Reserved for private use,True,,BRITISH AIRWAYS,,,BRITISH AWYS,,British Airways,BRITISH A,BRITISH AIRWAYS,3005,BRITISH AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3006,3000,3999,Reserved for private use,True,,JAPAN AIRLINES,,,JAL AIRLINE,,Japan Air Lines,JAL,JAPAN AIRLINES,3006,JAPAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3007,3000,3999,Reserved for private use,True,,AIR FRANCE,,,AIR FRANCE,,Air France,AIR FRAN,AIR FRANCE,3007,AIR FRANCE,,,PASSENGER TRANSPORT SERVICES - AIR
3008,3000,3999,Reserved for private use,True,,LUFTHANSA,,,LUFTHANSA,,Lufthansa,LUFTHAN,LUFTHANSA,3008,LUFTHANSA,,,PASSENGER TRANSPORT SERVICES - AIR
3009,3000,3999,Reserved for private use,True,,AIR CANADA,,,AIR CANADA,,Air Canada,AIR CAN,AIR CANADA,3009,AIR CANADA,,,PASSENGER TRANSPORT SERVICES - AIR
3010,3000,3999,Reserved for private use,True,,KLM (ROYAL DUTCH AIRLINES),,,KLM AIRLINE,,Royal Dutch Airlines (KLM),KLM,KLM (ROYAL DUTCH AIRLINES),3010,KLM (ROYAL DUTCH AIRLINES),,,PASSENGER TRANSPORT SERVICES - AIR
3011,3000,3999,Reserved for private use,True,,AEORFLOT,,,AEROFLOT,,Aeroflot,AEROFLOT,AEROFLOT,3011,AEROFLOT,,,PASSENGER TRANSPORT SERVICES - AIR
3012,3000,3999,Reserved for private use,True,,QUANTAS,,,QANTAS AIR,,Qantas,QANTAS,QANTAS,3012,QANTAS,,,PASSENGER TRANSPORT SERVICES - AIR
3013,3000,3999,Reserved for private use,True,,ALITALIA,,,ITA AIRWAYS (FORMERLY ALITALIA),,ITA AIRWAYS,ITA SPA,ALITALIA,3013,ITA AIRWAYS (FORMERLY ALITALIA),,,PASSENGER TRANSPORT SERVICES - AIR
3014,3000,3999,Reserved for private use,True,,SAUDIA ARABIAN AIRLINES,,,SAUDIA AIR,,Saudi Arabian Airlines,SAUDI AI,SAUDI ARABIAN AIRLINES,3014,SAUDI ARABIAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3015,3000,3999,Reserved for private use,True,,SWISSAIR,,,SWISSINTAIR,,Swiss International Air Lines,SWISS,SWISS INTERNATIONAL AIRLINES,3015,SWISS INTERNATIONAL AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3016,3000,3999,Reserved for private use,True,,SAS,,,SAS,,Scandinavian Airline System (SAS),SAS,SAS,3016,SAS,,,PASSENGER TRANSPORT SERVICES - AIR
3017,3000,3999,Reserved for private use,True,,SOUTH AFRICAN AIRWAYS,,,SAA AIRWAYS,,South African Airways,SAFRICAN,SOUTH AFRICAN AIRWAYS,3017,SOUTH AFRICAN AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3018,3000,3999,Reserved for private use,True,,VARIG (BRAZIL),,,VARIG,,Varig (Brazil),VARIG,VARIG (BRAZIL),3018,VARIG (BRAZIL),,,PASSENGER TRANSPORT SERVICES - AIR
3019,3000,3999,Reserved for private use,True,,,,,EASTERN AIR,,Eastern Airlines,Eastern,,3019,EASTERN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3020,3000,3999,Reserved for private use,True,,AIR-INDIA,,,AIR-INDIA,,Air India,AIR-INDI,AIR-INDIA,3020,AIR-INDIA,,,PASSENGER TRANSPORT SERVICES - AIR
3021,3000,3999,Reserved for private use,True,,AIR ALGERIE,,,AIR ALGERIE,,Air Algerie,AIRALGER,AIR ALGERIE,3021,AIR ALGERIE,,,PASSENGER TRANSPORT SERVICES - AIR
3022,3000,3999,Reserved for private use,True,,PHILIPPINE AIRLINES,,,PAL AIR,,Philippine Airlines,PAL AIR,PHILIPPINE AIRLINES,3022,PHILIPPINE AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3023,3000,3999,Reserved for private use,True,,MEXICANA,,,MEXICANA,,Mexicana,MEXICANA,MEXICANA,3023,MEXICANA,,,PASSENGER TRANSPORT SERVICES - AIR
3024,3000,3999,Reserved for private use,True,,PAKISTAN INTERNATIONAL,,,PAKISTAN AIR,,Pakistan International,PAKISTAN,PAKISTAN INTERNATIONAL,3024,PAKISTAN INTERNATIONAL,,,PASSENGER TRANSPORT SERVICES - AIR
3025,3000,3999,Reserved for private use,True,,AIR NEW ZEALAND,,,AIR NZ,,Air New Zealand Limited International,AIR NZ,AIR NEW ZEALAND,3025,AIR NEW ZEALAND,,,PASSENGER TRANSPORT SERVICES - AIR
3026,3000,3999,Reserved for private use,True,,,,,EMIRATES,,Emirates Airlines,EMIRATES,EMIRATES AIRLINES,3026,EMIRATES AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3027,3000,3999,Reserved for private use,True,,UTA/INTERAIR,,,UTA AIRLINE,,Union de Transports Aeriens,UTAAIR,UTA/INTERAIR,3027,UTA/INTERAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3028,3000,3999,Reserved for private use,True,,AIR MALTA,,,AIR MALTA,,Air Malta,AIRMALTA,AIR MALTA,3028,AIR MALTA,,,PASSENGER TRANSPORT SERVICES - AIR
3029,3000,3999,Reserved for private use,True,,SABENA,,,SNBRSSLSAIR,,SN Brussels Airlines,SNBRU AIR,SN BRUSSELS AIRLINES,3029,SN BRUSSELS AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3030,3000,3999,Reserved for private use,True,,AEROLINEAS ARGENTINAS,,,AERO ARGENT,,Aerolineas Argentinas,AERO ARG,AEROLINEAS ARGENTINAS,3030,AEROLINEAS ARGENTINAS,,,PASSENGER TRANSPORT SERVICES - AIR
3031,3000,3999,Reserved for private use,True,,OLYMPIC AIRWAYS,,,OLYMPIC AIR,,Olympic Airways,OLYMPICA,OLYMPIC AIRWAYS,3031,OLYMPIC AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3032,3000,3999,Reserved for private use,True,,EL AL,,,EL AL,,El Al,EL AL,EL AL,3032,EL AL,,,PASSENGER TRANSPORT SERVICES - AIR
3033,3000,3999,Reserved for private use,True,,ANSETT AIRLINES,,,ANSETT AIR,,Ansett Airlines,ANSETT,ANSETT AIRLINES,3033,ANSETT AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3034,3000,3999,Reserved for private use,True,,AUSTRAINLIAN AIRLINES,,,ETIHADAIR,,Etihad Airways,ETIHADAIR,ETIHAD AIRWAYS,3034,ETIHAD AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3035,3000,3999,Reserved for private use,True,,TAP (PORTUGAL),,,TAP AIR,,Tap (Portugal),TAP,TAP (PORTUGAL),3035,TAP (PORTUGAL),,,PASSENGER TRANSPORT SERVICES - AIR
3036,3000,3999,Reserved for private use,True,,VASP (BRAZIL),,,VASP AIR,,VASP (Brazil),VASP,VASP (BRAZIL),3036,VASP (BRAZIL),,,PASSENGER TRANSPORT SERVICES - AIR
3037,3000,3999,Reserved for private use,True,,,,,EGYPTAIR,,EgyptAir,EGYPTAIR,EGYPTAIR,3037,EGYPTAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3038,3000,3999,Reserved for private use,True,,KUWAIT AIRLINES,,,KUWAIT AIR,,Kuwait Airways,KUWAIT,KUWAIT AIRWAYS,3038,KUWAIT AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3039,3000,3999,Reserved for private use,True,,AVIANCA,,,AVIANCA,,Avianca,AVIANCA,AVIANCA,3039,AVIANCA,,,PASSENGER TRANSPORT SERVICES - AIR
3040,3000,3999,Reserved for private use,True,,GULF AIR (BAHRAIN),,,GULF AIR,,Gulf Air (Bahrain),GULF AIR,GULF AIR (BAHRAIN),3040,GULF AIR (BAHRAIN),,,PASSENGER TRANSPORT SERVICES - AIR
3041,3000,3999,Reserved for private use,True,,BALKAN-BULGARIAN AIRLINES,,,BALKAN AIR,,Balkan: Bulgarian Airlines,BALKAN,BALKAN-BULGARIAN AIRLINES,3041,BALKAN-BULGARIAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3042,3000,3999,Reserved for private use,True,,FINNAIR,,,FINNAIR,,Finnair,FINNAIR,FINNAIR,3042,FINNAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3043,3000,3999,Reserved for private use,True,,AER LINGUS,,,AER LINGUS,,Aer Lingus,AERLING,AER LINGUS,3043,AER LINGUS,,,PASSENGER TRANSPORT SERVICES - AIR
3044,3000,3999,Reserved for private use,True,,AIR LANKA,,,AIR LANKA,,Air Lanka,AIR LANKA,AIR LANKA,3044,AIR LANKA,,,PASSENGER TRANSPORT SERVICES - AIR
3045,3000,3999,Reserved for private use,True,,NIGERIA AIRWAYS,,,NIGERIA AIR,,Nigeria Airways,NIGERIA,NIGERIA AIRWAYS,3045,NIGERIA AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3046,3000,3999,Reserved for private use,True,,CRUZEIRO DO SUL (BRAZIJ),,,CRUZEIRO AIR,,Cruzeiro do Sul (Brazil),CRUZEIRO,CRUZEIRO DO SUL (BRAZIL),3046,CRUZEIRO DO SUL (BRAZIL),,,PASSENGER TRANSPORT SERVICES - AIR
3047,3000,3999,Reserved for private use,True,,THY (TURKEY),,,TURKISH AIRLINES,,Turkish Airlines,THY,THY (TURKEY),3047,TURKISH AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3048,3000,3999,Reserved for private use,True,,ROYAL AIR MAROC,,,AIR MAROC,,Royal Air Maroc,AIRMARO,ROYAL AIR MAROC,3048,ROYAL AIR MAROC,,,PASSENGER TRANSPORT SERVICES - AIR
3049,3000,3999,Reserved for private use,True,,TUNIS AIR,,,TUNIS AIR,,Tunis Air,TUNIS AI,TUNIS AIR,3049,TUNIS AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3050,3000,3999,Reserved for private use,True,,ICELANDAIR,,,ICELANDAIR,,Icelandair,ICELANDA,ICELANDAIR,3050,ICELANDAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3051,3000,3999,Reserved for private use,True,,AUSTRIAN AIRLINES,,,AUSTRIAN AIR,,Austrian Airlines,AUSTRIAN,AUSTRIAN AIRLINES,3051,AUSTRIAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3052,3000,3999,Reserved for private use,True,,LANCHILE,,,LAN AIR,,LAN Airlines,LAN AIR,LAN AIRLINES,3052,LAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3053,3000,3999,Reserved for private use,True,,AVIACO (SPAIN),,,AVIACO AIR,,AVIACO (Spain),AVIACO,AVIACO (SPAIN),3053,AVIACO (SPAIN),,,PASSENGER TRANSPORT SERVICES - AIR
3054,3000,3999,Reserved for private use,True,,LADECO (CHILE),,,LADECO AIR,,LADECO (Chile),LADECO,LADECO (CHILE),3054,LADECO (CHILE),,,PASSENGER TRANSPORT SERVICES - AIR
3055,3000,3999,Reserved for private use,True,,LAB (BOLIVIA),,,LAB AIR,,LAB (Bolivia),LAB,LAB (BOLIVIA),3055,LAB (BOLIVIA),,,PASSENGER TRANSPORT SERVICES - AIR
3056,3000,3999,Reserved for private use,True,,QUEBECAIRE,,,JET AIR,,Jet Airways,JET AIR,JET AIRWAYS,3056,JET AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3057,3000,3999,Reserved for private use,True,,EASTWEST AIRLINES (AUSTRALIA),,,VIR AMER,,Virgin America,VIR AMER,VIRGIN AMERICA,3057,VIRGIN AMERICA,,,PASSENGER TRANSPORT SERVICES - AIR
3058,3000,3999,Reserved for private use,True,,DELTA,,,DELTA AIR,,Delta,DELTA,DELTA,3058,DELTA,,,PASSENGER TRANSPORT SERVICES - AIR
3059,3000,3999,Reserved for private use,True,,,,,DBA AIR,,DBA Airlines,DBA AIR,DBA AIRLINES,3059,DBA AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3060,3000,3999,Reserved for private use,True,,NORTHWEST,,,NWA AIR,,Northwest Airlines,NWA AIR,NORTHWEST,3060,NORTHWEST,,,PASSENGER TRANSPORT SERVICES - AIR
3061,3000,3999,Reserved for private use,True,,CONTINENTAL,,,CONTINENTAL,,Continental,CONTINEN,CONTINENTAL,3061,CONTINENTAL,,,PASSENGER TRANSPORT SERVICES - AIR
3062,3000,3999,Reserved for private use,True,,WESTERN,,,HLX AIR,,Hapag-Lloyd Express,HLX,HAPAG-LLOYD EXPRESS AIRLINES,3062,HAPAG-LLOYD EXPRESS AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3063,3000,3999,Reserved for private use,True,,US AIR,,,USAIRWAYS,,U.S. Airways,USAIRWYS,US AIRWAYS,3063,US AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3064,3000,3999,Reserved for private use,True,,,,,ADRIA AIR,,Adria Airways,ADRIA AIR,ADRIA AIRWAYS,3064,ADRIA AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3065,3000,3999,Reserved for private use,True,,AIRINTER,,,AIRINTER,,Air Inter,AIRINTER,AIRINTER,3065,AIRINTER,,,PASSENGER TRANSPORT SERVICES - AIR
3066,3000,3999,Reserved for private use,True,,SOUTHWEST,,,SOUTHWESTAIR,,Southwest Airlines,SOUTHWES,SOUTHWEST,3066,SOUTHWEST,,,PASSENGER TRANSPORT SERVICES - AIR
3067,3000,3999,Reserved for private use,True,,,,,VANGUARD AIR,,Vanguard Airlines,VANGUARD,VANGUARD AIRLINES,3067,VANGUARD AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3068,3000,3999,Reserved for private use,True,,,,,AIR ASTANA,,Air Astana,AIRSTANA,AIR ASTANA,3068,AIR ASTANA,,,PASSENGER TRANSPORT SERVICES - AIR
3069,3000,3999,Reserved for private use,True,,,,,SUNCNTRYAIR,,Sun Country Airlines,SUNCNTRY,SUN COUNTRY AIRLINES,3069,SUN COUNTRY AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3070,3000,3999,Reserved for private use,True,,,,,FLYDUBAI,,Fly Dubai,FLYDUBAI,FLY DUBAI,3070,FLYDUBAI,,,PASSENGER TRANSPORT SERVICES - AIR
3071,3000,3999,Reserved for private use,True,,AIR BRITISH COLUBIA,,,AIR BC,,Air British Columbia,AIR B R C,AIR BRITISH COLUMBIA,3071,AIR BRITISH COLUMBIA,,,PASSENGER TRANSPORT SERVICES - AIR
3072,3000,3999,Reserved for private use,True,,,,,CEBU PAC,,Cebu Pacific,CEBU PAC,CEBU PACIFIC AIRLINES,3072,CEBU PACIFIC AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3073,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3074,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3075,3000,3999,Reserved for private use,True,,SINGAPORE AIRLINES,,,SINGAPOREAIR,,Singapore Airlines,SINGAPOR,SINGAPORE AIRLINES,3075,SINGAPORE AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3076,3000,3999,Reserved for private use,True,,,,,AEROMEXICO,,Aeromexico,AEROMEXI,AEROMEXICO,3076,AEROMEXICO,,,PASSENGER TRANSPORT SERVICES - AIR
3077,3000,3999,Reserved for private use,True,,THAI AIRWAYS,,,THAI AIRWAYS,,Thai Airways,THAIAIRW,THAI AIRWAYS,3077,THAI AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3078,3000,3999,Reserved for private use,True,,CHINA AIRLINES,,,CHINA AIR,,China Airlines,CHINAAIR,CHINA AIRLINES,3078,CHINA AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3079,3000,3999,Reserved for private use,True,,,,,JETSTAR AIR,,Jetstar Airways,JETSTAR,JETSTAR AIRWAYS,3079,JETSTAR AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3080,3000,3999,Reserved for private use,True,,,,,FLYSWOOP,,Swoop Inc.,SWOOP,SWOOP AIR,3080,SWOOP INC,,,PASSENGER TRANSPORT SERVICES - AIR
3081,3000,3999,Reserved for private use,True,,NORDAIR,,,XIAMEN AIR,,Xiamen Airlines,XIAMENAIR,,3081,XIAMEN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
