MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
5231,"Glass, Paint, and Wallpaper Stores","Merchants classified with this MCC sell glass, paint and painting supplies, wallpaper and hanging supplies, and other wall covering materials.","Paint, Painting Supplies Supplies – Glass Supplies – Paint, Painting Supplies Supplies – Wallpaper, Supplies Wallpaper, Wallcovering Supplies Store",5039 – Construction Materials (Not Elsewhere Classified) 5200 – Home Supply Warehouse Stores 5251 – Hardware Stores
5251,Hardware Stores,Merchants classified with this MCC sell a full range of hardware supplies for purchase by the general public.,"Electrical Supplies Hand Tools Lighting Fixtures, Supplies Plumbing Supplies Power Tools Supplies – Hardware Stores Tools","5200 – Home Supply Warehouse Stores 5231 – Glass, Paint, and Wallpaper Stores 5713 – Floor Covering Stores 5718 – Fireplace, Fireplace Screens and Accessories Stores"
5261,Nurseries and Lawn and Garden Supply Stores,"Merchants classified with this MCC sell nursery stock, trees, shrubs, other plants, seeds, bulbs, mulches, soil conditioners, fertilizers, pesticides, garden tools, and other garden supplies.","Gardening Supplies Greenhouses Lawn, Garden Supply Plant Shops Supplies – Nurseries, Lawn, Garden Supply Stores",0780 – Landscaping and Horticultural Services 5992 – Florists
5262,Marketplaces,,,
5271,Mobile Home Dealers,"Merchants classified with this MCC sell new and used mobile homes and related parts, accessories, and equipment.","Dealers – Mobile Home, Parts, Equipment Equipment – Mobile Home Parts","5561 – Camper, Recreational and Utility Trailer Dealers 5592 – Motor Home Dealers 5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)"
5300,Wholesale Clubs,Merchants classified with this MCC sell a full range of goods (often in bulk) and services in warehouse-style stores. These Merchants may or may not have membership requirements.,Club Stores – Wholesale Clubs Discount Goods – Wholesale Clubs Warehouse Retail – Wholesale Clubs,"5200 – Home Supply Warehouse Stores 5310 – Discount Stores 5311 – Department Stores 5331 – Variety Stores 5399 – Miscellaneous General Merchandise 5712 – Furniture, Home Furnishings and Equipment Stores, Except Appliances 5719 – Miscellaneous Home Furnishing Specialty Stores"
5309,Duty Free Stores,"Merchants classified with this MCC sell a variety of gift and import items that are typically exempt from customs fees, such as liquor, perfume, and jewelry.",,"5921 – Package Stores – Beer, Wine, and Liquor 5944 – Jewelry Stores 5999 – Miscellaneous and Specialty Retail Stores"
5310,Discount Stores,Merchants classified with this MCC sell a general line of merchandise and offer it at a discounted rate.,,5300 – Wholesale Clubs 5311 – Department Stores 5331 – Variety Stores 5399 – Miscellaneous General Merchandise 5931 – Used Merchandise and Secondhand Stores
5311,Department Stores,"Merchants classified with this MCC sell a general line of apparel, home furnishings, furniture, electronics, cosmetics, housewares, and major household appliances. These stores have departments that usually have their own separate check-out counters.",,"5300 – Wholesale Clubs 5331 – Variety Stores 5399 – Miscellaneous General Merchandise
5931 – Used Merchandise and Secondhand Stores"
5331,Variety Stores,"Merchants classified with this MCC sell a limited selection of various products in a lower price range. Generally, these Merchants sell the same type of merchandise and operate in the same manner as a discount store, but on a much smaller scale.",,"5310 – Discount Stores 5311 – Department Stores 5399 – Miscellaneous General Merchandise 5931 – Used Merchandise and Secondhand Stores 5947 – Gift, Card, Novelty and Souvenir Shops"
