,Code,Parent code level 4,Parent length,Parent code level 3,Parent code level 2,Parent code level 1
217,25502.0,2550,4,255,25,C
218,25610.0,2561,4,256,25,C
219,25620.0,2562,4,256,25,C
220,25710.0,2571,4,257,25,C
221,25720.0,2572,4,257,25,C
222,25731.0,2573,4,257,25,C
223,25739.0,2573,4,257,25,C
224,25910.0,2591,4,259,25,C
225,25920.0,2592,4,259,25,C
226,25930.0,2593,4,259,25,C
227,25940.0,2594,4,259,25,C
228,25991.0,2599,4,259,25,C
229,25999.0,2599,4,259,25,C
230,26110.0,2611,4,261,26,C
231,26120.0,2612,4,261,26,C
232,26200.0,2620,4,262,26,C
233,26300.0,2630,4,263,26,C
234,26400.0,2640,4,264,26,C
235,26510.0,2651,4,265,26,C
236,26520.0,2652,4,265,26,C
237,26600.0,2660,4,266,26,C
238,26700.0,2670,4,267,26,C
239,26800.0,2680,4,268,26,C
240,27110.0,2711,4,271,27,C
241,27120.0,2712,4,271,27,C
242,27200.0,2720,4,272,27,C
243,27310.0,2731,4,273,27,C
244,27320.0,2732,4,273,27,C
245,27330.0,2733,4,273,27,C
246,27401.0,2740,4,274,27,C
247,27402.0,2740,4,274,27,C
248,27510.0,2751,4,275,27,C
249,27520.0,2752,4,275,27,C
250,27900.0,2790,4,279,27,C
251,28110.0,2811,4,281,28,C
252,28120.0,2812,4,281,28,C
253,28130.0,2813,4,281,28,C
254,28140.0,2814,4,281,28,C
255,28150.0,2815,4,281,28,C
256,28210.0,2821,4,282,28,C
257,28220.0,2822,4,282,28,C
258,28230.0,2823,4,282,28,C
259,28240.0,2824,4,282,28,C
260,28250.0,2825,4,282,28,C
261,28291.0,2829,4,282,28,C
262,28292.0,2829,4,282,28,C
263,28293.0,2829,4,282,28,C
264,28294.0,2829,4,282,28,C
265,28295.0,2829,4,282,28,C
266,28296.0,2829,4,282,28,C
267,28299.0,2829,4,282,28,C
268,28300.0,2830,4,283,28,C
269,28410.0,2841,4,284,28,C
270,28490.0,2849,4,284,28,C
271,28910.0,2891,4,289,28,C
272,28920.0,2892,4,289,28,C
273,28930.0,2893,4,289,28,C
274,28940.0,2894,4,289,28,C
275,28950.0,2895,4,289,28,C
276,28960.0,2896,4,289,28,C
277,28990.0,2899,4,289,28,C
278,29100.0,2910,4,291,29,C
279,29201.0,2920,4,292,29,C
280,29202.0,2920,4,292,29,C
281,29310.0,2931,4,293,29,C
282,29320.0,2932,4,293,29,C
283,30110.0,3011,4,301,30,C
284,30120.0,3012,4,301,30,C
285,30200.0,3020,4,302,30,C
286,30300.0,3030,4,303,30,C
287,30400.0,3040,4,304,30,C
288,30910.0,3091,4,309,30,C
289,30920.0,3092,4,309,30,C
290,30990.0,3099,4,309,30,C
291,31010.0,3101,4,310,31,C
292,31020.0,3102,4,310,31,C
293,31030.0,3103,4,310,31,C
294,31091.0,3109,4,310,31,C
295,31092.0,3109,4,310,31,C
296,31099.0,3109,4,310,31,C
297,32110.0,3211,4,321,32,C
298,32121.0,3212,4,321,32,C
299,32122.0,3212,4,321,32,C
300,32123.0,3212,4,321,32,C
301,32124.0,3212,4,321,32,C
302,32129.0,3212,4,321,32,C
303,32130.0,3213,4,321,32,C
304,32200.0,3220,4,322,32,C
305,32300.0,3230,4,323,32,C
306,32400.0,3240,4,324,32,C
307,32500.0,3250,4,325,32,C
308,32910.0,3291,4,329,32,C
309,32990.0,3299,4,329,32,C
310,33110.0,3311,4,331,33,C
311,33120.0,3312,4,331,33,C
312,33130.0,3313,4,331,33,C
313,33140.0,3314,4,331,33,C
314,33150.0,3315,4,331,33,C
315,33160.0,3316,4,331,33,C
316,33170.0,3317,4,331,33,C
317,33190.0,3319,4,331,33,C
318,33200.0,3320,4,332,33,C
319,35110.0,3511,4,351,35,D
320,35120.0,3512,4,351,35,D
321,35130.0,3513,4,351,35,D
322,35140.0,3514,4,351,35,D
323,35210.0,3521,4,352,35,D
324,35220.0,3522,4,352,35,D
325,35230.0,3523,4,352,35,D
326,35300.0,3530,4,353,35,D
327,36000.0,3600,4,360,36,E
328,37000.0,3700,4,370,37,E
329,38110.0,3811,4,381,38,E
330,38120.0,3812,4,381,38,E
331,38211.0,3821,4,382,38,E
332,38212.0,3821,4,382,38,E
333,38213.0,3821,4,382,38,E
334,38219.0,3821,4,382,38,E
335,38221.0,3822,4,382,38,E
336,38222.0,3822,4,382,38,E
337,38310.0,3831,4,383,38,E
338,38321.0,3832,4,383,38,E
339,38322.0,3832,4,383,38,E
340,38323.0,3832,4,383,38,E
341,38329.0,3832,4,383,38,E
342,39000.0,3900,4,390,39,E
343,41101.0,4110,4,411,41,F
344,41102.0,4110,4,411,41,F
345,41201.0,4120,4,412,41,F
346,41202.0,4120,4,412,41,F
347,41203.0,4120,4,412,41,F
348,42110.0,4211,4,421,42,F
349,42120.0,4212,4,421,42,F
350,42130.0,4213,4,421,42,F
351,42211.0,4221,4,422,42,F
352,42212.0,4221,4,422,42,F
353,42219.0,4221,4,422,42,F
354,42220.0,4222,4,422,42,F
355,42911.0,4291,4,429,42,F
356,42919.0,4291,4,429,42,F
357,42990.0,4299,4,429,42,F
358,43110.0,4311,4,431,43,F
359,43120.0,4312,4,431,43,F
360,43130.0,4313,4,431,43,F
361,43211.0,4321,4,432,43,F
362,43212.0,4321,4,432,43,F
363,43221.0,4322,4,432,43,F
364,43222.0,4322,4,432,43,F
365,43291.0,4329,4,432,43,F
366,43299.0,4329,4,432,43,F
367,43310.0,4331,4,433,43,F
368,43320.0,4332,4,433,43,F
369,43331.0,4333,4,433,43,F
370,43332.0,4333,4,433,43,F
371,43333.0,4333,4,433,43,F
372,43341.0,4334,4,433,43,F
373,43342.0,4334,4,433,43,F
374,43343.0,4334,4,433,43,F
375,43390.0,4339,4,433,43,F
376,43910.0,4391,4,439,43,F
377,43991.0,4399,4,439,43,F
378,43992.0,4399,4,439,43,F
379,43993.0,4399,4,439,43,F
380,43994.0,4399,4,439,43,F
381,43995.0,4399,4,439,43,F
382,43996.0,4399,4,439,43,F
383,43999.0,4399,4,439,43,F
384,45111.0,4511,4,451,45,G
385,45112.0,4511,4,451,45,G
386,45113.0,4511,4,451,45,G
387,45191.0,4519,4,451,45,G
388,45192.0,4519,4,451,45,G
389,45193.0,4519,4,451,45,G
390,45194.0,4519,4,451,45,G
391,45201.0,4520,4,452,45,G
392,45202.0,4520,4,452,45,G
393,45203.0,4520,4,452,45,G
394,45204.0,4520,4,452,45,G
395,45205.0,4520,4,452,45,G
396,45206.0,4520,4,452,45,G
397,45209.0,4520,4,452,45,G
398,45310.0,4531,4,453,45,G
399,45320.0,4532,4,453,45,G
400,45401.0,4540,4,454,45,G
401,45402.0,4540,4,454,45,G
402,46110.0,4611,4,461,46,G
403,46120.0,4612,4,461,46,G
404,46130.0,4613,4,461,46,G
405,46140.0,4614,4,461,46,G
406,46150.0,4615,4,461,46,G
407,46160.0,4616,4,461,46,G
408,46170.0,4617,4,461,46,G
409,46180.0,4618,4,461,46,G
410,46190.0,4619,4,461,46,G
411,46211.0,4621,4,462,46,G
412,46212.0,4621,4,462,46,G
413,46213.0,4621,4,462,46,G
414,46214.0,4621,4,462,46,G
415,46215.0,4621,4,462,46,G
416,46216.0,4621,4,462,46,G
417,46220.0,4622,4,462,46,G
418,46231.0,4623,4,462,46,G
419,46232.0,4623,4,462,46,G
420,46240.0,4624,4,462,46,G
421,46311.0,4631,4,463,46,G
422,46319.0,4631,4,463,46,G
423,46321.0,4632,4,463,46,G
424,46322.0,4632,4,463,46,G
425,46331.0,4633,4,463,46,G
426,46332.0,4633,4,463,46,G
427,46341.0,4634,4,463,46,G
428,46349.0,4634,4,463,46,G
429,46350.0,4635,4,463,46,G
430,46360.0,4636,4,463,46,G
431,46370.0,4637,4,463,46,G
432,46381.0,4638,4,463,46,G
433,46382.0,4638,4,463,46,G
434,46383.0,4638,4,463,46,G
435,46389.0,4638,4,463,46,G
436,46391.0,4639,4,463,46,G
437,46392.0,4639,4,463,46,G
438,46411.0,4641,4,464,46,G
439,46412.0,4641,4,464,46,G
440,46419.0,4641,4,464,46,G
441,46421.0,4642,4,464,46,G
442,46422.0,4642,4,464,46,G
443,46423.0,4642,4,464,46,G
444,46424.0,4642,4,464,46,G
445,46425.0,4642,4,464,46,G
446,46431.0,4643,4,464,46,G
447,46432.0,4643,4,464,46,G
448,46433.0,4643,4,464,46,G
449,46441.0,4644,4,464,46,G
450,46442.0,4644,4,464,46,G
451,46450.0,4645,4,464,46,G
452,46460.0,4646,4,464,46,G
453,46471.0,4647,4,464,46,G
454,46472.0,4647,4,464,46,G
455,46473.0,4647,4,464,46,G
456,46480.0,4648,4,464,46,G
457,46491.0,4649,4,464,46,G
458,46492.0,4649,4,464,46,G
459,46493.0,4649,4,464,46,G
460,46494.0,4649,4,464,46,G
461,46495.0,4649,4,464,46,G
462,46496.0,4649,4,464,46,G
463,46497.0,4649,4,464,46,G
464,46498.0,4649,4,464,46,G
465,46499.0,4649,4,464,46,G
466,46510.0,4651,4,465,46,G
467,46520.0,4652,4,465,46,G
468,46610.0,4661,4,466,46,G
469,46620.0,4662,4,466,46,G
470,46630.0,4663,4,466,46,G
471,46640.0,4664,4,466,46,G
472,46650.0,4665,4,466,46,G
473,46660.0,4666,4,466,46,G
474,46691.0,4669,4,466,46,G
475,46692.0,4669,4,466,46,G
476,46693.0,4669,4,466,46,G
477,46694.0,4669,4,466,46,G
478,46695.0,4669,4,466,46,G
479,46696.0,4669,4,466,46,G
480,46697.0,4669,4,466,46,G
481,46699.0,4669,4,466,46,G
482,46710.0,4671,4,467,46,G
483,46720.0,4672,4,467,46,G
484,46731.0,4673,4,467,46,G
485,46732.0,4673,4,467,46,G
486,46733.0,4673,4,467,46,G
487,46734.0,4673,4,467,46,G
488,46735.0,4673,4,467,46,G
489,46736.0,4673,4,467,46,G
490,46739.0,4673,4,467,46,G
491,46741.0,4674,4,467,46,G
492,46742.0,4674,4,467,46,G
493,46751.0,4675,4,467,46,G
494,46752.0,4675,4,467,46,G
495,46761.0,4676,4,467,46,G
496,46769.0,4676,4,467,46,G
497,46771.0,4677,4,467,46,G
498,46772.0,4677,4,467,46,G
499,46779.0,4677,4,467,46,G
500,46900.0,4690,4,469,46,G
501,47111.0,4711,4,471,47,G
502,47112.0,4711,4,471,47,G
503,47113.0,4711,4,471,47,G
504,47114.0,4711,4,471,47,G
505,47115.0,4711,4,471,47,G
506,47191.0,4719,4,471,47,G
507,47192.0,4719,4,471,47,G
508,47210.0,4721,4,472,47,G
509,47221.0,4722,4,472,47,G
510,47222.0,4722,4,472,47,G
511,47230.0,4723,4,472,47,G
512,47241.0,4724,4,472,47,G
513,47242.0,4724,4,472,47,G
514,47251.0,4725,4,472,47,G
515,47252.0,4725,4,472,47,G
516,47260.0,4726,4,472,47,G
517,47291.0,4729,4,472,47,G
518,47299.0,4729,4,472,47,G
519,47300.0,4730,4,473,47,G
520,47410.0,4741,4,474,47,G
521,47420.0,4742,4,474,47,G
522,47430.0,4743,4,474,47,G
523,47511.0,4751,4,475,47,G
524,47512.0,4751,4,475,47,G
525,47513.0,4751,4,475,47,G
526,47519.0,4751,4,475,47,G
527,47521.0,4752,4,475,47,G
528,47522.0,4752,4,475,47,G
529,47523.0,4752,4,475,47,G
530,47524.0,4752,4,475,47,G
531,47525.0,4752,4,475,47,G
532,47526.0,4752,4,475,47,G
533,47527.0,4752,4,475,47,G
534,47529.0,4752,4,475,47,G
535,47530.0,4753,4,475,47,G
536,47540.0,4754,4,475,47,G
537,47591.0,4759,4,475,47,G
538,47592.0,4759,4,475,47,G
539,47593.0,4759,4,475,47,G
540,47594.0,4759,4,475,47,G
541,47599.0,4759,4,475,47,G
542,47610.0,4761,4,476,47,G
543,47620.0,4762,4,476,47,G
544,47630.0,4763,4,476,47,G
545,47640.0,4764,4,476,47,G
546,47650.0,4765,4,476,47,G
547,47711.0,4771,4,477,47,G
548,47712.0,4771,4,477,47,G
549,47713.0,4771,4,477,47,G
550,47714.0,4771,4,477,47,G
551,47715.0,4771,4,477,47,G
552,47716.0,4771,4,477,47,G
553,47721.0,4772,4,477,47,G
554,47722.0,4772,4,477,47,G
555,47730.0,4773,4,477,47,G
556,47740.0,4774,4,477,47,G
557,47750.0,4775,4,477,47,G
558,47761.0,4776,4,477,47,G
559,47762.0,4776,4,477,47,G
560,47770.0,4777,4,477,47,G
561,47781.0,4778,4,477,47,G
562,47782.0,4778,4,477,47,G
563,47783.0,4778,4,477,47,G
564,47784.0,4778,4,477,47,G
565,47785.0,4778,4,477,47,G
566,47786.0,4778,4,477,47,G
567,47787.0,4778,4,477,47,G
568,47788.0,4778,4,477,47,G
569,47789.0,4778,4,477,47,G
570,47791.0,4779,4,477,47,G
571,47792.0,4779,4,477,47,G
572,47793.0,4779,4,477,47,G
573,47810.0,4781,4,478,47,G
574,47820.0,4782,4,478,47,G
575,47890.0,4789,4,478,47,G
576,47910.0,4791,4,479,47,G
577,47990.0,4799,4,479,47,G
578,49100.0,4910,4,491,49,H
579,49200.0,4920,4,492,49,H
580,49310.0,4931,4,493,49,H
581,49320.0,4932,4,493,49,H
582,49390.0,4939,4,493,49,H
583,49410.0,4941,4,494,49,H
584,49420.0,4942,4,494,49,H
585,49500.0,4950,4,495,49,H
586,50100.0,5010,4,501,50,H
587,50200.0,5020,4,502,50,H
588,50300.0,5030,4,503,50,H
589,50400.0,5040,4,504,50,H
590,51100.0,5110,4,511,51,H
591,51210.0,5121,4,512,51,H
592,51220.0,5122,4,512,51,H
593,52100.0,5210,4,521,52,H
594,52210.0,5221,4,522,52,H
595,52220.0,5222,4,522,52,H
596,52230.0,5223,4,522,52,H
597,52241.0,5224,4,522,52,H
598,52249.0,5224,4,522,52,H
599,52290.0,5229,4,522,52,H
600,53100.0,5310,4,531,53,H
601,53200.0,5320,4,532,53,H
602,55100.0,5510,4,551,55,I
603,55201.0,5520,4,552,55,I
604,55202.0,5520,4,552,55,I
605,55203.0,5520,4,552,55,I
606,55204.0,5520,4,552,55,I
607,55209.0,5520,4,552,55,I
608,55300.0,5530,4,553,55,I
609,55900.0,5590,4,559,55,I
610,56101.0,5610,4,561,56,I
611,56102.0,5610,4,561,56,I
612,56210.0,5621,4,562,56,I
613,56290.0,5629,4,562,56,I
614,56301.0,5630,4,563,56,I
615,56302.0,5630,4,563,56,I
616,56309.0,5630,4,563,56,I
617,58110.0,5811,4,581,58,J
618,58120.0,5812,4,581,58,J
619,58130.0,5813,4,581,58,J
620,58140.0,5814,4,581,58,J
621,58190.0,5819,4,581,58,J
622,58210.0,5821,4,582,58,J
623,58290.0,5829,4,582,58,J
624,59111.0,5911,4,591,59,J
625,59112.0,5911,4,591,59,J
626,59113.0,5911,4,591,59,J
627,59114.0,5911,4,591,59,J
628,59120.0,5912,4,591,59,J
629,59130.0,5913,4,591,59,J
630,59140.0,5914,4,591,59,J
631,59201.0,5920,4,592,59,J
632,59202.0,5920,4,592,59,J
633,59203.0,5920,4,592,59,J
634,59209.0,5920,4,592,59,J
635,60100.0,6010,4,601,60,J
636,60200.0,6020,4,602,60,J
637,61100.0,6110,4,611,61,J
638,61200.0,6120,4,612,61,J
639,61300.0,6130,4,613,61,J
640,61900.0,6190,4,619,61,J
641,62010.0,6201,4,620,62,J
642,62020.0,6202,4,620,62,J
643,62030.0,6203,4,620,62,J
644,62090.0,6209,4,620,62,J
645,63110.0,6311,4,631,63,J
646,63120.0,6312,4,631,63,J
647,63910.0,6391,4,639,63,J
648,63990.0,6399,4,639,63,J
649,64110.0,6411,4,641,64,K
650,64190.0,6419,4,641,64,K
651,64200.0,6420,4,642,64,K
652,64300.0,6430,4,643,64,K
653,64910.0,6491,4,649,64,K
654,64921.0,6492,4,649,64,K
655,64922.0,6492,4,649,64,K
656,64929.0,6492,4,649,64,K
657,64991.0,6499,4,649,64,K
658,64992.0,6499,4,649,64,K
659,64999.0,6499,4,649,64,K
660,65111.0,6511,4,651,65,K
661,65112.0,6511,4,651,65,K
662,65121.0,6512,4,651,65,K
663,65122.0,6512,4,651,65,K
664,65200.0,6520,4,652,65,K
665,65300.0,6530,4,653,65,K
666,66110.0,6611,4,661,66,K
667,66120.0,6612,4,661,66,K
668,66191.0,6619,4,661,66,K
669,66199.0,6619,4,661,66,K
670,66210.0,6621,4,662,66,K
671,66220.0,6622,4,662,66,K
672,66290.0,6629,4,662,66,K
673,66300.0,6630,4,663,66,K
674,68100.0,6810,4,681,68,L
675,68201.0,6820,4,682,68,L
676,68202.0,6820,4,682,68,L
677,68203.0,6820,4,682,68,L
678,68204.0,6820,4,682,68,L
679,68311.0,6831,4,683,68,L
680,68312.0,6831,4,683,68,L
681,68321.0,6832,4,683,68,L
682,68322.0,6832,4,683,68,L
683,69101.0,6910,4,691,69,M
684,69102.0,6910,4,691,69,M
685,69103.0,6910,4,691,69,M
686,69109.0,6910,4,691,69,M
687,69201.0,6920,4,692,69,M
688,69202.0,6920,4,692,69,M
689,69203.0,6920,4,692,69,M
690,70100.0,7010,4,701,70,M
691,70210.0,7021,4,702,70,M
692,70220.0,7022,4,702,70,M
693,71111.0,7111,4,711,71,M
694,71112.0,7111,4,711,71,M
695,71113.0,7111,4,711,71,M
696,71121.0,7112,4,711,71,M
697,71122.0,7112,4,711,71,M
698,71201.0,7120,4,712,71,M
699,71209.0,7120,4,712,71,M
700,72110.0,7211,4,721,72,M
701,72190.0,7219,4,721,72,M
702,72200.0,7220,4,722,72,M
703,73110.0,7311,4,731,73,M
704,73120.0,7312,4,731,73,M
705,73200.0,7320,4,732,73,M
706,74101.0,7410,4,741,74,M
707,74102.0,7410,4,741,74,M
708,74103.0,7410,4,741,74,M
709,74104.0,7410,4,741,74,M
710,74105.0,7410,4,741,74,M
711,74109.0,7410,4,741,74,M
712,74201.0,7420,4,742,74,M
713,74202.0,7420,4,742,74,M
714,74209.0,7420,4,742,74,M
715,74300.0,7430,4,743,74,M
716,74901.0,7490,4,749,74,M
717,74909.0,7490,4,749,74,M
718,75000.0,7500,4,750,75,M
719,77110.0,7711,4,771,77,N
720,77120.0,7712,4,771,77,N
721,77210.0,7721,4,772,77,N
722,77220.0,7722,4,772,77,N
723,77291.0,7729,4,772,77,N
724,77292.0,7729,4,772,77,N
725,77293.0,7729,4,772,77,N
726,77294.0,7729,4,772,77,N
727,77295.0,7729,4,772,77,N
728,77296.0,7729,4,772,77,N
729,77299.0,7729,4,772,77,N
730,77310.0,7731,4,773,77,N
731,77320.0,7732,4,773,77,N
732,77330.0,7733,4,773,77,N
733,77340.0,7734,4,773,77,N
734,77350.0,7735,4,773,77,N
735,77391.0,7739,4,773,77,N
736,77392.0,7739,4,773,77,N
737,77393.0,7739,4,773,77,N
738,77394.0,7739,4,773,77,N
739,77399.0,7739,4,773,77,N
740,77400.0,7740,4,774,77,N
741,78100.0,7810,4,781,78,N
742,78200.0,7820,4,782,78,N
743,78300.0,7830,4,783,78,N
744,79110.0,7911,4,791,79,N
745,79120.0,7912,4,791,79,N
746,79901.0,7990,4,799,79,N
747,79909.0,7990,4,799,79,N
748,80100.0,8010,4,801,80,N
749,80200.0,8020,4,802,80,N
750,80300.0,8030,4,803,80,N
751,81100.0,8110,4,811,81,N
752,81210.0,8121,4,812,81,N
753,81220.0,8122,4,812,81,N
754,81290.0,8129,4,812,81,N
755,81300.0,8130,4,813,81,N
756,82110.0,8211,4,821,82,N
757,82190.0,8219,4,821,82,N
758,82200.0,8220,4,822,82,N
759,82300.0,8230,4,823,82,N
760,82910.0,8291,4,829,82,N
761,82920.0,8292,4,829,82,N
762,82990.0,8299,4,829,82,N
763,84111.0,8411,4,841,84,O
764,84112.0,8411,4,841,84,O
765,84113.0,8411,4,841,84,O
766,84114.0,8411,4,841,84,O
767,84115.0,8411,4,841,84,O
768,84119.0,8411,4,841,84,O
769,84120.0,8412,4,841,84,O
770,84130.0,8413,4,841,84,O
771,84210.0,8421,4,842,84,O
772,84220.0,8422,4,842,84,O
